upstream_002
             x                       y                       z
   2.18368e-02             2.60102e-02             1.17400e-01
   2.09657e-02             2.41575e-02             1.17400e-01
   1.99419e-02             2.19794e-02             1.17400e-01
   1.87769e-02             1.94995e-02             1.17400e-01
   1.74735e-02             1.67527e-02             1.17400e-01
   1.60419e-02             1.37725e-02             1.17400e-01
   1.44851e-02             1.06015e-02             1.17400e-01
   1.28028e-02             7.28810e-03             1.17400e-01
   1.09952e-02             3.88307e-03             1.17400e-01
   9.06383e-03             4.38055e-04             1.17400e-01
   7.01271e-03            -2.99558e-03             1.17400e-01
   4.84817e-03            -6.36752e-03             1.17400e-01
   2.57868e-03            -9.62877e-03             1.17400e-01
   2.16302e-04            -1.27335e-02             1.17400e-01
  -2.21854e-03            -1.56434e-02             1.17400e-01
  -4.69011e-03            -1.83337e-02             1.17400e-01
  -7.15649e-03            -2.07867e-02             1.17400e-01
  -9.57440e-03            -2.29883e-02             1.17400e-01
  -1.18967e-02            -2.49307e-02             1.17400e-01
  -1.41420e-02            -2.65579e-02             1.17400e-01
  -1.61878e-02            -2.79292e-02             1.17400e-01
  -1.80710e-02            -2.89830e-02             1.17400e-01
  -1.97472e-02            -2.97262e-02             1.17400e-01
  -2.11350e-02            -3.02007e-02             1.17400e-01
  -2.22489e-02            -3.03777e-02             1.17400e-01
  -2.35740e-02            -2.98627e-02             1.17400e-01
  -2.37342e-02            -2.92052e-02             1.17400e-01
  -2.37088e-02            -2.81689e-02             1.17400e-01
  -2.32873e-02            -2.69316e-02             1.17400e-01
  -2.26063e-02            -2.54027e-02             1.17400e-01
  -2.16612e-02            -2.36085e-02             1.17400e-01
  -2.04551e-02            -2.15742e-02             1.17400e-01
  -1.90108e-02            -1.93148e-02             1.17400e-01
  -1.73432e-02            -1.68555e-02             1.17400e-01
  -1.54662e-02            -1.42269e-02             1.17400e-01
  -1.33898e-02            -1.14661e-02             1.17400e-01
  -1.11272e-02            -8.61083e-03             1.17400e-01
  -8.68998e-03            -5.70281e-03             1.17400e-01
  -6.09669e-03            -2.78035e-03             1.17400e-01
  -3.38518e-03             1.31972e-04             1.17400e-01
  -6.00137e-04             3.01408e-03             1.17400e-01
   2.21034e-03             5.84827e-03             1.17400e-01
   4.99727e-03             8.61786e-03             1.17400e-01
   7.71377e-03             1.13054e-02             1.17400e-01
   1.03129e-02             1.38950e-02             1.17400e-01
   1.27488e-02             1.63720e-02             1.17400e-01
   1.49845e-02             1.87175e-02             1.17400e-01
